,Previous_10_Left_Choice,Previous_10_Right_Choice,Previous_10_Left_Reward,Previous_10_Right_Reward,Streak,5_Port,5_Reward,5_ITI,5_trialDuration,4_Port,4_Reward,4_ITI,4_trialDuration,3_Port,3_Reward,3_ITI,3_trialDuration,2_Port,2_Reward,2_ITI,2_trialDuration,1_Port,1_Reward,1_ITI,1_trialDuration,0_ITI,0_trialDuration,Decision
5580,10.0,0.0,10.0,0.0,0.0,1.0,1.0,3.063,0.326,1.0,1.0,2.4219999999999997,0.322,1.0,1.0,3.903,0.374,1.0,1.0,3.773,0.42100000000000004,1.0,1.0,4.173,0.35100000000000003,3.7489999999999997,0.349,1.0
5581,10.0,0.0,10.0,0.0,0.0,1.0,1.0,2.4219999999999997,0.322,1.0,1.0,3.903,0.374,1.0,1.0,3.773,0.42100000000000004,1.0,1.0,4.173,0.35100000000000003,1.0,1.0,3.7489999999999997,0.349,3.0269999999999997,0.363,1.0
5582,10.0,0.0,9.0,0.0,-1.0,1.0,1.0,3.903,0.374,1.0,1.0,3.773,0.42100000000000004,1.0,1.0,4.173,0.35100000000000003,1.0,1.0,3.7489999999999997,0.349,1.0,0.0,3.0269999999999997,0.363,1.348,0.284,1.0
5583,10.0,0.0,8.0,0.0,-2.0,1.0,1.0,3.773,0.42100000000000004,1.0,1.0,4.173,0.35100000000000003,1.0,1.0,3.7489999999999997,0.349,1.0,0.0,3.0269999999999997,0.363,1.0,0.0,1.348,0.284,2.187,0.38799999999999996,1.0
5584,10.0,0.0,7.0,0.0,-3.0,1.0,1.0,4.173,0.35100000000000003,1.0,1.0,3.7489999999999997,0.349,1.0,0.0,3.0269999999999997,0.363,1.0,0.0,1.348,0.284,1.0,0.0,2.187,0.38799999999999996,1.7919999999999998,0.336,1.0
5585,10.0,0.0,6.0,0.0,-4.0,1.0,1.0,3.7489999999999997,0.349,1.0,0.0,3.0269999999999997,0.363,1.0,0.0,1.348,0.284,1.0,0.0,2.187,0.38799999999999996,1.0,0.0,1.7919999999999998,0.336,1.224,0.483,1.0
5586,10.0,0.0,5.0,0.0,-5.0,1.0,0.0,3.0269999999999997,0.363,1.0,0.0,1.348,0.284,1.0,0.0,2.187,0.38799999999999996,1.0,0.0,1.7919999999999998,0.336,1.0,0.0,1.224,0.483,1.204,0.51,1.0
5587,10.0,0.0,4.0,0.0,-6.0,1.0,0.0,1.348,0.284,1.0,0.0,2.187,0.38799999999999996,1.0,0.0,1.7919999999999998,0.336,1.0,0.0,1.224,0.483,1.0,0.0,1.204,0.51,2.878,0.392,1.0
5588,10.0,0.0,3.0,0.0,-7.0,1.0,0.0,2.187,0.38799999999999996,1.0,0.0,1.7919999999999998,0.336,1.0,0.0,1.224,0.483,1.0,0.0,1.204,0.51,1.0,0.0,2.878,0.392,1.776,0.503,0.0
5589,9.0,1.0,2.0,0.0,-8.0,1.0,0.0,1.7919999999999998,0.336,1.0,0.0,1.224,0.483,1.0,0.0,1.204,0.51,1.0,0.0,2.878,0.392,0.0,0.0,1.776,0.503,8.031,0.395,1.0
